//联锁表-湖州高速场(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
117    |DCJL|D5A,S3DA    |D5     |W3,W2,(W1),(25-27),(13-15)                     |W3DG,W2DG,W1-W4DG,25DG,13-27DG,15DG,17DG,9DG                     |D11;
118    |DCJL|D7A,D11A    |D7     |(W4),W1                     |W1-W4DG,W2DG                     |D11;
119    |DCJL|D7A,S1DA    |D7     |(W4),W1,(25-27),13-15,(17)                     |W1-W4DG,W2DG,25DG,13-27DG,17DG,17CHG                     |D11;
120    |DCJL|D7A,SIIDA    |D7     |(W4),W1,(25-27),13-15,17                     |W1-W4DG,W2DG,25DG,13-27DG,17DG                     |D11;
121    |DCJL|D7A,S3DA    |D7     |(W4),W1,(25-27),(13-15)                     |W1-W4DG,W2DG,25DG,13-27DG,15DG,17DG,9DG                     |D11;
122    |DCJL|D9A,D11A    |D9     |W4,W1                     |W1-W4DG,W2DG                     |D11;
123    |DCJL|D9A,S1DA    |D9     |W4,W1,(25-27),13-15,(17)                     |W1-W4DG,W2DG,25DG,13-27DG,17DG,17CHG                     |D11;
124    |DCJL|D9A,SIIDA    |D9     |W4,W1,(25-27),13-15,17                     |W1-W4DG,W2DG,25DG,13-27DG,17DG                     |D11;
125    |DCJL|D9A,S3DA    |D9     |W4,W1,(25-27),(13-15)                     |W1-W4DG,W2DG,25DG,13-27DG,15DG,17DG,9DG                     |D11;
126    |DCJL|S1DA,D13A    |S1     |(17),13-15,(25-27)                     |17CHG,17DG,13-27DG,25DG                     |D13;
127    |DCJL|S1DA,D1A    |S1     |(17),13-15,(25-27),(W1),(W2)                     |17CHG,17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
128    |DCJL|S1DA,D3A    |S1     |(17),13-15,(25-27),(W1),W2,(W3)                     |17CHG,17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
129    |DCJL|S1DA,D5A    |S1     |(17),13-15,(25-27),(W1),W2,W3                     |17CHG,17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
130    |DCJL|S1DA,D7A    |S1     |(17),13-15,(25-27),W1,(W4)                     |17CHG,17DG,13-27DG,25DG,W1-W4DG,W2DG                     |D13;
131    |DCJL|S1DA,D9A    |S1     |(17),13-15,(25-27),W1,W4                     |17CHG,17DG,13-27DG,25DG,W1-W4DG,W2DG                     |D13;
132    |DCJL|SIIDA,D13A    |SII     |17,13-15,(25-27)                     |17DG,13-27DG,25DG                     |D13;
133    |DCJL|SIIDA,D1A    |SII     |17,13-15,(25-27),(W1),(W2)                     |17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
134    |DCJL|SIIDA,D3A    |SII     |17,13-15,(25-27),(W1),W2,(W3)                     |17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
135    |DCJL|SIIDA,D5A    |SII     |17,13-15,(25-27),(W1),W2,W3                     |17DG,13-27DG,25DG,W1-W4DG,W2DG,W3DG                     |D13;
136    |DCJL|SIIDA,D7A    |SII     |17,13-15,(25-27),W1,(W4)                     |17DG,13-27DG,25DG,W1-W4DG,W2DG                     |D13;
137    |DCJL|SIIDA,D9A    |SII     |17,13-15,(25-27),W1,W4                     |17DG,13-27DG,25DG,W1-W4DG,W2DG                     |D13;
138    |DCJL|S3DA,D13A    |S3     |(13-15),(25-27)                     |15DG,13-27DG,25DG,9DG,17DG                     |D13;
139    |DCJL|S3DA,D1A    |S3     |(13-15),(25-27),(W1),(W2)                     |15DG,13-27DG,25DG,9DG,17DG,W1-W4DG,W2DG,W3DG                     |D13;
140    |DCJL|S3DA,D3A    |S3     |(13-15),(25-27),(W1),W2,(W3)                     |15DG,13-27DG,25DG,9DG,17DG,W1-W4DG,W2DG,W3DG                     |D13;
141    |DCJL|S3DA,D5A    |S3     |(13-15),(25-27),(W1),W2,W3                     |15DG,13-27DG,25DG,9DG,17DG,W1-W4DG,W2DG,W3DG                     |D13;
142    |DCJL|S3DA,D7A    |S3     |(13-15),(25-27),W1,(W4)                     |15DG,13-27DG,25DG,9DG,17DG,W1-W4DG,W2DG                     |D13;
143    |DCJL|S3DA,D9A    |S3     |(13-15),(25-27),W1,W4                     |15DG,13-27DG,25DG,9DG,17DG,W1-W4DG,W2DG                     |D13;
####
//结束标识
