//联锁表-标准站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
116    |DCJL|D8A,D4A    |D8     |(2-4)                     |4DG,2DG                     |D4;
117    |DCJL|D8A,D2A    |D8     |2-4                     |4DG                     |D2;
118    |DCJL|D14A,D4A    |D14     |10-12,(6-8),10-12,(2-4)                     |8-10DG,6-12DG,4DG,2DG                     |D10;
119    |DCJL|D14A,D2A    |D14     |10-12,(6-8),10-12,2-4                     |8-10DG,6-12DG,4DG                     |D10;
120    |DCJL|D14A,D10A    |D14     |10-12,(6-8),10-12                     |8-10DG,6-12DG                     |D10;
121    |DCJL|D14A,D12A    |D14     |10-12,6-8                     |8-10DG                     |D12;
122    |DCJL|D24A,D4A    |D24     |(20-22),(18),10-12,(6-8),10-12,(2-4)                     |22DG,20DG,18DG,8-10DG,6-12DG,4DG,2DG                     |D18;
123    |DCJL|D24A,D2A    |D24     |(20-22),(18),10-12,(6-8),10-12,2-4                     |22DG,20DG,18DG,8-10DG,6-12DG,4DG                     |D18;
124    |DCJL|D24A,D10A    |D24     |(20-22),(18),10-12,(6-8),10-12                     |22DG,20DG,18DG,8-10DG,6-12DG                     |D18;
125    |DCJL|D24A,D12A    |D24     |(20-22),(18),10-12,6-8                     |22DG,20DG,18DG,8-10DG                     |D18;
126    |DCJL|D24A,D18A    |D24     |(20-22),(18)                     |22DG,20DG,18DG                     |D18;
127    |DCJL|D24A,D16A    |D24     |20-22                     |22DG                     |D16;
128    |DCJL|D10A,XIVDA    |D10     |10-12,6-8,(14-16)                     |6-12DG,14DG,16DG                     |D20;
129    |DCJL|D10A,XIIDA    |D10     |10-12,6-8,14-16                     |6-12DG,14DG                     |D20;
130    |DCJL|D10A,XIDA    |D10     |10-12,(6-8),10-12,18                     |6-12DG,8-10DG,18DG,20DG                     |D14;
131    |DCJL|D10A,X3DA    |D10     |10-12,(6-8),10-12,(18),20-22                     |6-12DG,8-10DG,18DG,20DG                     |D14;
132    |DCJL|D10A,D14A    |D10     |10-12,(6-8),10-12                     |6-12DG,8-10DG                     |D14;
133    |DCJL|D10A,D24A    |D10     |10-12,(6-8),10-12,(18),(20-22)                     |6-12DG,8-10DG,18DG,20DG,22DG                     |D14;
134    |DCJL|D10A,D20A    |D10     |10-12,6-8                     |6-12DG                     |D20;
135    |DCJL|D10A,D30A    |D10     |10-12,(6-8),10-12,(18),20-22,24                     |6-12DG,8-10DG,18DG,20DG,24DG                     |D14;
136    |DCJL|D12A,XIVDA    |D12     |6-8,(10-12),6-8,(14-16)                     |8-10DG,6-12DG,14DG,16DG                     |D20;
137    |DCJL|D12A,XIIDA    |D12     |6-8,(10-12),6-8,14-16                     |8-10DG,6-12DG,14DG                     |D20;
138    |DCJL|D12A,XIDA    |D12     |6-8,10-12,18                     |8-10DG,18DG,20DG                     |D14;
139    |DCJL|D12A,X3DA    |D12     |6-8,10-12,(18),20-22                     |8-10DG,18DG,20DG                     |D14;
140    |DCJL|D12A,D14A    |D12     |6-8,10-12                     |8-10DG                     |D14;
141    |DCJL|D12A,D24A    |D12     |6-8,10-12,(18),(20-22)                     |8-10DG,18DG,20DG,22DG                     |D14;
142    |DCJL|D12A,D20A    |D12     |6-8,(10-12),6-8                     |8-10DG,6-12DG                     |D20;
143    |DCJL|D12A,D30A    |D12     |6-8,10-12,(18),20-22,24                     |8-10DG,18DG,20DG,24DG                     |D14;
144    |DCJL|D18A,XIDA    |D18     |18                     |18DG,20DG                     |XI;
145    |DCJL|D18A,X3DA    |D18     |(18),20-22                     |18DG,20DG                     |X3;
146    |DCJL|D18A,D24A    |D18     |(18),(20-22)                     |18DG,20DG,22DG                     |D24;
147    |DCJL|D18A,D30A    |D18     |(18),20-22,24                     |18DG,20DG,24DG                     |X3;
148    |DCJL|D20A,XIVDA    |D20     |(14-16)                     |14DG,16DG                     |XIV;
149    |DCJL|D20A,XIIDA    |D20     |14-16                     |14DG                     |XII;
150    |DCJL|D22A,XIVDA    |D22     |14-16                     |16DG                     |XIV;
151    |DCJL|D16A,D24A    |D16     |20-22                     |22DG                     |D24;
152    |DCJL|D16A,D30A    |D16     |20-22,(24)                     |22DG,24DG                     |D24;
153    |DCJL|D28A,D30A    |D28     |24                     |24DG                     |D30;
154    |DCJL|D26A,D30A    |D26     |(24)                     |24DG                     |D30;
155    |DCJL|D30A,D4A    |D30     |24,20-22,(18),10-12,(6-8),10-12,(2-4)                     |24DG,20DG,18DG,8-10DG,6-12DG,4DG,2DG                     |D28;
156    |DCJL|D30A,D2A    |D30     |24,20-22,(18),10-12,(6-8),10-12,2-4                     |24DG,20DG,18DG,8-10DG,6-12DG,4DG                     |D28;
157    |DCJL|D30A,D10A    |D30     |24,20-22,(18),10-12,(6-8),10-12                     |24DG,20DG,18DG,8-10DG,6-12DG                     |D28;
158    |DCJL|D30A,D12A    |D30     |24,20-22,(18),10-12,6-8                     |24DG,20DG,18DG,8-10DG                     |D28;
159    |DCJL|D30A,D18A    |D30     |24,20-22,(18)                     |24DG,20DG,18DG                     |D28;
160    |DCJL|D30A,D16A    |D30     |(24),20-22                     |24DG,22DG                     |D26;
161    |DCJL|D30A,D28A    |D30     |24                     |24DG                     |D28;
162    |DCJL|D30A,D26A    |D30     |(24)                     |24DG                     |D26;
163    |DCJL|SIVDA,D1A    |SIV     |(15-17),9-11,(5-7)                     |17-19DG,15DG,9DG,7DG,5DG                     |D13;
164    |DCJL|SIVDA,D3A    |SIV     |(15-17),9-11,5-7,1-3                     |17-19DG,15DG,9DG,7DG,3DG                     |D13;
165    |DCJL|SIVDA,D5A    |SIV     |15-17,(19),1-3                     |17-19DG,1DG                     |D15;
166    |DCJL|SIVDA,D13A    |SIV     |(15-17),9-11                     |17-19DG,15DG,9DG                     |D13;
167    |DCJL|SIVDA,D15A    |SIV     |15-17,(19)                     |17-19DG                     |D15;
168    |DCJL|SIIDA,D1A    |SII     |15-17,9-11,(5-7)                     |15DG,9DG,7DG,5DG                     |D13;
169    |DCJL|SIIDA,D3A    |SII     |15-17,9-11,5-7,1-3                     |15DG,9DG,7DG,3DG                     |D13;
170    |DCJL|SIIDA,D5A    |SII     |15-17,9-11,5-7,(1-3)                     |15DG,9DG,7DG,3DG,1DG                     |D13;
171    |DCJL|SIIDA,D13A    |SII     |15-17,9-11                     |15DG,9DG                     |D13;
172    |DCJL|SIDA,D1A    |SI     |13,9-11,5-7                     |11-13DG,5DG                     |D17;
173    |DCJL|SIDA,D3A    |SI     |13,(9-11),5-7,1-3                     |11-13DG,9DG,7DG,3DG                     |D13;
174    |DCJL|SIDA,D5A    |SI     |13,(9-11),5-7,(1-3)                     |11-13DG,9DG,7DG,3DG,1DG                     |D13;
